   X       Y         Z      JointType
-0.2605591 0.1602518 1.866131 3
-0.4048557 -0.07185534 1.790165 4
-0.472901 -0.3093539 1.747988 5
-0.4877358 -0.4857398 1.641198 6
-0.4848433 -0.5332631 1.630173 7
-0.09301846 -0.08993103 1.835086 8
-0.04140415 -0.3110709 1.793475 9
-0.0005408385 -0.485078 1.688945 10
-0.002488883 -0.5188386 1.663321 11
-0.3437374 -0.5282512 1.684017 12
-0.3295026 -0.8144969 1.657304 13
-0.1994459 -0.538236 1.700005 16
-0.1892882 -0.8272671 1.657169 17
-0.2571924 -0.02550914 1.821629 20
-0.478735 -0.6141335 1.608144 21
-0.4287319 -0.5132678 1.634211 22
-0.002621363 -0.5950091 1.647099 23
-0.02805836 -0.5182595 1.711 24
-0.2768777 -0.5437924 1.726019 0
-0.2661537 -0.2439247 1.78588 1
-0.2538273 0.04563856 1.830327 2
-0.2605591 0.1602518 1.866131 3
-0.4048557 -0.07185534 1.790165 4
-0.472901 -0.3093539 1.747988 5
-0.4877358 -0.4857398 1.641198 6
-0.4848433 -0.5332631 1.630173 7
-0.09301846 -0.08993103 1.835086 8
-0.04140415 -0.3110709 1.793475 9
-0.0005408385 -0.485078 1.688945 10
-0.002488883 -0.5188386 1.663321 11
-0.3437374 -0.5282512 1.684017 12
-0.3295026 -0.8144969 1.657304 13
-0.1994459 -0.538236 1.700005 16
-0.1892882 -0.8272671 1.657169 17
-0.2571924 -0.02550914 1.821629 20
-0.478735 -0.6141335 1.608144 21
-0.4287319 -0.5132678 1.634211 22
-0.002621363 -0.5950091 1.647099 23
-0.02805836 -0.5182595 1.711 24
-0.2768777 -0.5437924 1.726019 0
-0.2661537 -0.2439247 1.78588 1
-0.2538273 0.04563856 1.830327 2
-0.2605591 0.1602518 1.866131 3
-0.4048557 -0.07185534 1.790165 4
-0.472901 -0.3093539 1.747988 5
-0.4877358 -0.4857398 1.641198 6
-0.4848433 -0.5332631 1.630173 7
-0.09301846 -0.08993103 1.835086 8
-0.04140415 -0.3110709 1.793475 9
-0.0005408385 -0.485078 1.688945 10
-0.002488883 -0.5188386 1.663321 11
-0.3437374 -0.5282512 1.684017 12
-0.3295026 -0.8144969 1.657304 13
-0.1994459 -0.538236 1.700005 16
-0.1892882 -0.8272671 1.657169 17
-0.2571924 -0.02550914 1.821629 20
-0.478735 -0.6141335 1.608144 21
-0.4287319 -0.5132678 1.634211 22
-0.002621363 -0.5950091 1.647099 23
-0.02805836 -0.5182595 1.711 24
-0.277041 -0.5439455 1.725998 0
-0.2663702 -0.2440032 1.785926 1
-0.2541588 0.04573768 1.830459 2
-0.2610581 0.1601058 1.866436 3
-0.405046 -0.07202225 1.790425 4
-0.4729671 -0.3096184 1.748376 5
-0.4877096 -0.4860128 1.64165 6
-0.4842581 -0.5347465 1.629194 7
-0.09298683 -0.08992571 1.835129 8
-0.0416928 -0.311218 1.793174 9
-0.000618664 -0.485252 1.68885 10
-0.003886251 -0.5195274 1.663837 11
-0.3439035 -0.528516 1.684085 12
-0.3295238 -0.8145975 1.657349 13
-0.1995872 -0.5382953 1.699946 16
-0.1892649 -0.8272411 1.657154 17
-0.2574845 -0.02546872 1.821741 20
-0.4803051 -0.6141663 1.6082 21
-0.4289173 -0.5247688 1.631833 22
-0.003678691 -0.5937037 1.648612 23
-0.02542408 -0.5294418 1.703434 24
-0.2772007 -0.5440571 1.725858 0
-0.2667751 -0.2441556 1.785858 1
-0.2549435 0.04566277 1.830514 2
-0.2612739 0.1601308 1.866579 3
-0.4051969 -0.07216401 1.79055 4
-0.4729327 -0.3096438 1.748519 5
-0.4877118 -0.4859897 1.641711 6
-0.4852535 -0.53452 1.627786 7
-0.09371374 -0.09046836 1.834768 8
-0.04194028 -0.3112889 1.793024 9
-0.0008485788 -0.4852351 1.688545 10
-0.004436614 -0.5196511 1.662058 11
-0.3440541 -0.5286294 1.683978 12
-0.3293721 -0.8155838 1.657475 13
-0.1997134 -0.5383728 1.699816 16
-0.189318 -0.8270922 1.656883 17
-0.2581604 -0.02557532 1.821767 20
-0.4801919 -0.6140319 1.608566 21
-0.4309763 -0.5164437 1.636035 22
-0.004965293 -0.5930407 1.649399 23
-0.02697298 -0.5277199 1.699401 24
-0.2772007 -0.5440571 1.725858 0
-0.2667751 -0.2441556 1.785858 1
-0.2549435 0.04566277 1.830514 2
-0.2612739 0.1601308 1.866579 3
-0.4051969 -0.07216401 1.79055 4
-0.4729327 -0.3096438 1.748519 5
-0.4877118 -0.4859897 1.641711 6
-0.4852535 -0.53452 1.627786 7
-0.09371374 -0.09046836 1.834768 8
-0.04194028 -0.3112889 1.793024 9
-0.0008485788 -0.4852351 1.688545 10
-0.004436614 -0.5196511 1.662058 11
-0.3440541 -0.5286294 1.683978 12
-0.3293721 -0.8155838 1.657475 13
-0.1997134 -0.5383728 1.699816 16
-0.189318 -0.8270922 1.656883 17
-0.2581604 -0.02557532 1.821767 20
-0.4801919 -0.6140319 1.608566 21
-0.4309763 -0.5164437 1.636035 22
-0.004965293 -0.5930407 1.649399 23
-0.02697298 -0.5277199 1.699401 24
-0.2773183 -0.5442322 1.725775 0
-0.267046 -0.2443459 1.785792 1
-0.2553814 0.04556005 1.830458 2
-0.2615349 0.1601839 1.86668 3
-0.4053306 -0.07226077 1.790694 4
-0.4729532 -0.3096538 1.74853 5
-0.4877132 -0.4860816 1.641593 6
-0.4857082 -0.5337406 1.625723 7
-0.0942499 -0.09075308 1.834513 8
-0.04209439 -0.3113945 1.792905 9
-0.0009266649 -0.4853385 1.688456 10
-0.005044987 -0.5202393 1.662044 11
-0.3441648 -0.5288 1.683921 12
-0.3293904 -0.8155541 1.657438 13
-0.1998069 -0.5385155 1.699739 16
-0.1891354 -0.8269925 1.656627 17
-0.258553 -0.02570622 1.821717 20
-0.481097 -0.6130239 1.605896 21
-0.4310533 -0.5154781 1.635642 22
-0.005279399 -0.5940411 1.649539 23
-0.02762618 -0.5297452 1.695981 24
-0.2773183 -0.5442322 1.725775 0
-0.267046 -0.2443459 1.785792 1
-0.2553814 0.04556005 1.830458 2
-0.2615349 0.1601839 1.86668 3
-0.4053306 -0.07226077 1.790694 4
-0.4729532 -0.3096538 1.74853 5
-0.4877132 -0.4860816 1.641593 6
-0.4857082 -0.5337406 1.625723 7
-0.0942499 -0.09075308 1.834513 8
-0.04209439 -0.3113945 1.792905 9
-0.0009266649 -0.4853385 1.688456 10
-0.005044987 -0.5202393 1.662044 11
-0.3441648 -0.5288 1.683921 12
-0.3293904 -0.8155541 1.657438 13
-0.1998069 -0.5385155 1.699739 16
-0.1891354 -0.8269925 1.656627 17
-0.258553 -0.02570622 1.821717 20
-0.481097 -0.6130239 1.605896 21
-0.4310533 -0.5154781 1.635642 22
-0.005279399 -0.5940411 1.649539 23
-0.02762618 -0.5297452 1.695981 24
-0.2777047 -0.5443869 1.72573 0
-0.2674991 -0.2445268 1.785845 1
-0.2558488 0.0454493 1.830598 2
-0.2619534 0.159981 1.867794 3
-0.4054886 -0.07243955 1.790892 4
-0.4730213 -0.3095325 1.748798 5
-0.4877475 -0.4860646 1.641557 6
-0.4863953 -0.5340216 1.624816 7
-0.09468263 -0.09053031 1.835112 8
-0.04217069 -0.3114159 1.792959 9
-0.0009914472 -0.4853498 1.688496 10
-0.00482131 -0.5188711 1.664692 11
-0.344528 -0.5290074 1.683937 12
-0.329378 -0.8155638 1.657435 13
-0.200174 -0.5385965 1.699665 16
-0.1890482 -0.8269629 1.656584 17
-0.2590226 -0.02583954 1.821843 20
-0.4806959 -0.611701 1.602468 21
-0.4307601 -0.5156702 1.635596 22
-0.004031613 -0.593807 1.656078 23
-0.03093571 -0.5250983 1.704264 24
-0.2776994 -0.544513 1.725591 0
-0.2673594 -0.244769 1.785886 1
-0.2553865 0.04500115 1.830995 2
-0.2623824 0.1599885 1.868174 3
-0.4055198 -0.07255159 1.790962 4
-0.4729396 -0.3097635 1.748746 5
-0.4874003 -0.4861303 1.641374 6
-0.4827616 -0.5336663 1.624521 7
-0.09523209 -0.09016468 1.83451 8
-0.04218427 -0.3113919 1.792964 9
-0.001022564 -0.4853233 1.688489 10
-0.002017324 -0.5189267 1.663131 11
-0.3445208 -0.5292644 1.683938 12
-0.3292504 -0.8157347 1.657359 13
-0.200151 -0.5386263 1.699285 16
-0.1888882 -0.8268537 1.656457 17
-0.2586616 -0.02623421 1.822132 20
-0.4750334 -0.611956 1.601667 21
-0.4256053 -0.4988896 1.636643 22
-0.003731828 -0.5923332 1.651663 23
-0.03061844 -0.5128646 1.700727 24
-0.2776994 -0.544513 1.725591 0
-0.2673594 -0.244769 1.785886 1
-0.2553865 0.04500115 1.830995 2
-0.2623824 0.1599885 1.868174 3
-0.4055198 -0.07255159 1.790962 4
-0.4729396 -0.3097635 1.748746 5
-0.4874003 -0.4861303 1.641374 6
-0.4827616 -0.5336663 1.624521 7
-0.09523209 -0.09016468 1.83451 8
-0.04218427 -0.3113919 1.792964 9
-0.001022564 -0.4853233 1.688489 10
-0.002017324 -0.5189267 1.663131 11
-0.3445208 -0.5292644 1.683938 12
-0.3292504 -0.8157347 1.657359 13
-0.200151 -0.5386263 1.699285 16
-0.1888882 -0.8268537 1.656457 17
-0.2586616 -0.02623421 1.822132 20
-0.4750334 -0.611956 1.601667 21
-0.4256053 -0.4988896 1.636643 22
-0.003731828 -0.5923332 1.651663 23
-0.03061844 -0.5128646 1.700727 24
-0.2776516 -0.5447453 1.725386 0
-0.2672916 -0.2452767 1.786177 1
-0.255274 0.04394225 1.832462 2
-0.2625933 0.1599463 1.868333 3
-0.4070571 -0.07415631 1.79263 4
-0.4726623 -0.3098857 1.748693 5
-0.4869682 -0.4863218 1.641186 6
-0.4808689 -0.5345755 1.624835 7
-0.09545714 -0.0900069 1.834129 8
-0.04216888 -0.3112787 1.793023 9
-0.0009992827 -0.4852212 1.688572 10
-0.001201358 -0.5186894 1.661557 11
-0.3445015 -0.5295568 1.683847 12
-0.3291195 -0.8160639 1.657269 13
-0.2000546 -0.5387868 1.69897 16
-0.1888392 -0.8268975 1.656375 17
